subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Margaret Drive,0,0,0,103.6347309,1.330013784,3.203502563,10520
Marina Centre,0,0,0,103.8585462,1.331670021,0.371562101,20
Marina East,0,0,0,103.7396755,1.339642619,0.929241802,0
Marina East (MP),0,0,0,103.8038293,1.463097616,2.252366964,0
Marina South,0,0,0,103.7622392,1.301387852,0.700871033,0
Marine Parade,0,0,0,103.8454086,1.299104611,0.22304524,28910
Maritime Square,0,0,0,103.8660512,1.333338762,0.642238227,2560
Marymount,0,0,0,103.8543277,1.372880023,0.960355112,31540
Matilda,0,0,0,103.9113981,1.394419359,1.385425353,30440
Maxwell,0,0,0,103.8087308,1.299382774,1.031423997,0
Mei Chin,0,0,0,103.8522573,1.454547108,1.07963235,16750
Midview,0,0,0,103.746883,1.362751294,0.863351217,35510
Monk's Hill,0,0,0,103.9521287,1.340349058,2.792089656,980
Moulmein,0,0,0,103.8821032,1.361772657,1.958071648,8470
Mount Emily,0,0,0,103.8497978,1.302381295,0.049866168,1110
Mount Pleasant,0,0,0,103.8910188,1.302561549,1.721901834,650
Mountbatten,7,0.010057471,0.066666667,103.8709772,1.321754596,0.739059692,10210
Nassim,0,0,0,103.8124191,1.314856617,2.168731186,8340
National University of S'pore,0,0,0,103.8489464,1.278476188,0.197568524,360
Nature Reserve,0,0,0,103.9270488,1.306670274,1.10313514,3870
Nee Soon,0,0,0,103.8338578,1.313146988,0.352942389,900
Newton Circus,0,0,0,103.8320729,1.301541062,0.173957313,230
North Coast,0,0,0,103.8642522,1.300497593,0.854965344,14610
North-Eastern Islands,0,0,0,103.8379054,1.426654778,0.438498957,60
Northland,3,0.004310345,0.028571429,103.8343215,1.279706803,0.535588611,30380
Northshore,0,0,0,103.8456305,1.353888667,1.973665778,280
One North,0,0,0,103.8529754,1.299819027,0.215284411,620
One Tree Hill,0,0,0,103.7597817,1.385171785,0.627917508,1840
Orange Grove,0,0,0,103.8724533,1.315365016,0.412981249,1440
Oxley,0,0,0,103.8355999,1.276078272,0.638768609,1380
Pandan,0,0,0,103.7698264,1.325798046,0.969354069,10
Pang Sua,0,0,0,103.7927282,1.285940959,1.835664954,20
Pasir Panjang 1,0,0,0,103.7912737,1.298690608,2.061564151,4010
Pasir Panjang 2,0,0,0,103.8510099,1.313064411,1.027235375,3520
Pasir Ris Central,0,0,0,103.8301431,1.310031111,0.337846059,25730
Pasir Ris Drive,0,0,0,103.9219663,1.355127615,2.270192468,59480
Pasir Ris Park,0,0,0,103.8373529,1.418543529,1.346707449,2980
Pasir Ris Wafer Fab Park,0,0,0,103.8703372,1.352433592,1.067040201,20
Pasir Ris West,13,0.018678161,0.123809524,103.8400311,1.285480353,0.562517641,36330
Paterson,0,0,0,103.8249863,1.42649469,0.143837727,150
Paya Lebar East,0,0,0,103.7472402,1.412542456,2.185982881,10
Paya Lebar North,0,0,0,103.8370419,1.291585948,0.509034898,20
Paya Lebar West,0,0,0,103.8485205,1.306301419,0.055949789,0
Pearl's Hill,0,0,0,103.8871119,1.291150992,1.598015577,8230
Pei Chun,0,0,0,103.8977353,1.352038409,0.496902604,11780
Peng Siang,0,0,0,103.8903985,1.419576635,1.265891819,32130
Penjuru Crescent,0,0,0,103.8595869,1.293116262,0.89123507,10
People's Park,0,0,0,103.8337071,1.323139258,1.327485333,390
Phillip,0,0,0,103.847563,1.302552258,0.194929523,0
Pioneer Sector,0,0,0,103.8242851,1.274249186,0.536244445,0
Plab,0,0,0,103.92565,1.373139323,1.293641302,0
Port,0,0,0,103.7551065,1.316165008,0.726081885,140
Potong Pasir,0,0,0,103.9088965,1.299685606,0.594636879,12650
Pulau Punggol Barat,0,0,0,103.7450231,1.336327856,0.750500862,0
Pulau Punggol Timor,0,0,0,103.8515418,1.301620839,0.171489257,0
Pulau Seletar,0,0,0,103.8066062,1.453360189,1.750483169,0
Punggol Canal,0,0,0,103.8706746,1.308255144,0.745021061,0
Punggol Field,0,0,0,103.8607804,1.394720621,1.678159927,43300
Punggol Town Centre,0,0,0,103.7661801,1.318087586,0.995831369,7390
Queensway,0,0,0,103.8207942,1.292470169,0.295125382,280
Raffles Place,0,0,0,103.9403014,1.379664902,1.591135593,60
Redhill,0,0,0,103.6894611,1.307237701,2.128726672,12210
Reservoir View,0,0,0,103.8822546,1.336677721,1.062285978,20
Ridout,0,0,0,103.84806,1.287627427,0.161583816,1400
Rivervale,0,0,0,103.8491356,1.295824543,0.224285179,59860
Robertson Quay,0,0,0,103.8530375,1.335593115,0.420684536,2420
