,0,1,2
288,Anchorvale,0.000929866276,0.000852514309972
39,Pasir Ris West,0.000940734590416,0.000990203034263
113,Bugis,0.000956893760069,0.00139121584943
104,Punggol Field,0.000971026006144,0.000979156181076
80,Changi Point,0.0010271631669,0.00132261013895
168,Marina Centre,0.00109563328841,0.00131423353722
29,Fort Canning,0.00111261415107,0.000813028859439
310,Pasir Ris Central,0.00115851133597,0.000995325484684
228,City Hall,0.00116549936932,0.00134442858948
52,Matilda,0.0011770559872,0.00123732681814
158,Victoria,0.0012118053459,0.00124903745383
182,Tampines North,0.00122269339397,0.00120954339349
25,Tampines East,0.00127074916592,0.00103847087242
194,Lorong Ah Soo,0.00128775204798,0.00126481534725
6,Aljunied,0.00131459045074,0.00132861704511
186,Katong,0.00131665706068,0.001579047733
76,Fernvale,0.00133557928462,0.00123818875415
114,Pasir Ris Drive,0.00135416451242,0.00137395576485
201,Serangoon Central,0.00139473651881,0.00113206179063
193,Geylang East,0.001407010271,0.00156071662346
293,Rivervale,0.00154036951864,0.00131997097789
1,Lavender,0.00155144775926,0.00118093704142
126,Farrer Park,0.00166714705744,0.00169893447257
242,Somerset,0.00194859641947,0.00187067690059
143,Boulevard,0.00226165935563,0.00201930578965
286,Tanjong Rhu,0.00236729510764,0.00292620855971
15,Sentosa,0.00236813783205,0.00258994328427
282,Marine Parade,0.00242612146034,0.00209410580531
189,Maritime Square,0.00335207083977,0.00353393590341
