Source,Target,Weight
Mountbatten,Guilin,9
Northland,Chatsworth,6
Victoria,Wenya,11
Ridout,Marymount,13
Macpherson,Waterway East,22
Western Water Catchment,Tengah,10
Fort Canning,Clementi West,19
Yew Tee,Tukang,11
Clementi North,Sembawang Hills,1
Toh Guan,Pasir Ris Park,5
Hong Kah North,China Square,8
Swiss Club,Tuas Promenade,9
Yishun South,Anak Bukit,22
Alexandra Hill,Istana Negara,6
Tiong Bahru Station,Tuas Promenade,5
Anson,Gul Circle,2
Pandan,Jurong Gateway,26
Anson,Pulau Punggol Timor,2
Bras Basah,Pasir Panjang 2,3
Dover,Bayfront Subzone,12
Bencoolen,Seletar Hills,9
Potong Pasir,Bayshore,9
Tampines West,Gali Batu,20
Teck Whye,Gombak,20
Defu Industrial Park,Senoko South,7
Nee Soon,Bedok South,26
Bedok Reservoir,Tai Seng,23
One North,Toh Tuck,12
Sunset Way,Bedok South,5
Bukit Batok West,Seletar Hills,5
Tanglin,Toh Tuck,10
Kebun Bahru,Boat Quay,10
Sembawang Springs,Marymount,12
Ghim Moh,Boat Quay,5
Bayshore,Anak Bukit,12
Saujana,Potong Pasir,3
Lower Seletar,Clementi Central,4
Bukit Batok West,Boat Quay,3
Robertson Quay,Boon Keng,4
Bedok North,The Wharves,3
Mount Pleasant,Katong,4
Ang Mo Kio Town Centre,One Tree Hill,3
Bedok South,Loyang West,18
Hong Kah,Lim Chu Kang,13
Potong Pasir,East Coast,1
Keat Hong,Woodlands West,24
Woodlands South,Springleaf,18
Bidadari,Joo Seng,10
Raffles Place,Joo Koon,4
Jelebu,Macpherson,9
Lorong Ah Soo,Dover,4
Marine Parade,Upper Thomson,38
Mei Chin,Taman Jurong,16
Plab,Tukang,1
Toa Payoh West,One North,15
Ridout,Queensway,5
Reservoir View,Bukit Batok West,12
Guilin,Central Water Catchment,7
Nee Soon,Holland Road,1
Nassim,Selegie,8
Hougang West,Bayshore,15
Taman Jurong,Tuas Bay,15
Yishun West,Jurong Port,8
Jelebu,Dover,12
Paya Lebar North,Lower Seletar,8
Yuhua East,Commonwealth,7
Crawford,Joo Koon,7
Sembawang Springs,Queensway,1
Yuhua West,Senoko West,9
Seletar Hills,Victoria,11
Yishun West,Tanglin Halt,8
Kampong Ubi,Robertson Quay,8
Nature Reserve,Boat Quay,3
Hillview,Boon Teck,8
Changi Airport,Wenya,16
Keat Hong,Queensway,4
Choa Chu Kang North,Teban Gardens,14
Taman Jurong,Sunset Way,9
Bukit Batok South,Shipyard,7
Somerset,Yio Chu Kang North,9
Hougang East,Clementi Woods,2
Lavender,Lakeside,6
Macpherson,Sentosa,25
Robertson Quay,Bras Basah,18
Orange Grove,Braddell,16
Gali Batu,Singapore General Hospital,8
Matilda,Kent Ridge,6
Seletar Hills,Boon Lay Place,2
Cheng San,China Square,5
Henderson Hill,Phillip,3
Robertson Quay,Nee Soon,3
Ang Mo Kio Town Centre,Mackenzie,11
Bedok South,Khatib,12
Institution Hill,Geylang East,10
Woodlands West,Plab,2
Bugis,Mount Emily,2
Yio Chu Kang,Sembawang Springs,7
Singapore General Hospital,Ghim Moh,15
One North,Senoko North,4
Yio Chu Kang East,Peng Siang,6
Senoko South,Samulun,3
Lim Chu Kang,Wenya,4
Tuas View,Lower Seletar,2
Bukit Batok East,Pioneer Sector,6
Phillip,Mount Pleasant,1
Loyang West,Bangkit,2
Tukang,Tiong Bahru Station,2
Marymount,Gul Basin,3
Kim Keat,Bayshore,1
People's Park,Tuas View,2
Mackenzie,China Square,5
Commonwealth,Khatib,3
Sembawang East,Serangoon Garden,1
Farrer Court,Woodlands East,2
Braddell,Little India,5
Tampines North,Pang Sua,7
Coronation Road,Telok Blangah Way,2
Turf Club,Northland,9
One Tree Hill,Penjuru Crescent,1
Tampines North,Senja,5
Paya Lebar West,Serangoon Central,4
Bangkit,Punggol Town Centre,3
Changi Point,Jurong River,2
Senja,Istana Negara,3
Springleaf,Greenwood Park,1
Jurong West Central,Changi Point,7
Moulmein,Kampong Bugis,6
Little India,Lorong 8 Toa Payoh,6
Rochor Canal,Loyang West,2
Crawford,Sembawang Springs,7
Lower Seletar,Serangoon North Ind Estate,5
Seletar Hills,Sungei Road,1
Geylang Bahru,Seletar Hills,1
Sembawang North,Loyang West,5
Yunnan,Senoko North,9
Tyersall,Upper Paya Lebar,9
Upper Paya Lebar,Changi Point,6
Geylang Bahru,Cecil,6
Everton Park,Pasir Panjang 2,8
Serangoon North,Guilin,1
Swiss Club,Pandan,3
Tuas View,National University of S'pore,4
Frankel,Penjuru Crescent,1
Chinatown,Phillip,8
Jurong Island and Bukom,Shangri-La,1
Lorong Chuan,Bencoolen,12
Hillview,Kent Ridge,6
Goodwood Park,Sengkang West,1
Samulun,Pasir Panjang 2,1
Tiong Bahru Station,Hougang East,6
Kampong Bugis,Teck Whye,2
Pasir Ris Central,One Tree Hill,2
Singapore Polytechnic,Lower Seletar,1
Chatsworth,Bedok Reservoir,7
Kampong Glam,Dhoby Ghaut,2
Anchorvale,Hillcrest,10
Kangkar,Gul Circle,3
Institution Hill,Bangkit,4
Ridout,Hougang East,2
Anchorvale,Pandan,2
Tanglin,Senoko North,2
Yuhua West,Ulu Pandan,6
Pulau Punggol Timor,Lorong Halus North,3
Telok Blangah Way,Bukit Merah,4
Boon Keng,Singapore Polytechnic,3
Townsville,Istana Negara,9
Tanglin,Pandan,1
Tampines East,Tengah,3
Commonwealth,Loyang West,1
Lorong Chuan,Choa Chu Kang Central,2
Senoko North,Tiong Bahru,3
Paya Lebar North,The Wharves,2
Kian Teck,Punggol Town Centre,2
Singapore General Hospital,Safti,1
Defu Industrial Park,Tanjong Pagar,3
Bukit Batok East,Hougang Central,4
Pasir Ris Park,Kampong Glam,1
Tanglin Halt,Nature Reserve,2
Senoko South,Kovan,5
Holland Drive,Lower Seletar,4
Swiss Club,Senoko North,1
Bukit Merah,Gombak,4
Boon Teck,Teck Whye,2
Central Subzone,Ulu Pandan,2
Marine Parade,Mandai Estate,1
Hougang Central,Marina East,2
Sembawang Central,Brickworks,2
Kim Keat,East Coast,3
Pandan,Straits View,2
Clementi Woods,Trafalgar,4
Boon Keng,Yio Chu Kang,8
Phillip,Yishun South,2
Kebun Bahru,Seletar Hills,9
Woodlands South,Telok Blangah Way,2
Singapore Polytechnic,Institution Hill,2
Leedon Park,Liu Fang,1
City Hall,Plab,2
International Business Park,Dairy Farm,1
Yew Tee,Lorong 8 Toa Payoh,3
Safti,Ang Mo Kio Town Centre,1
China Square,Mandai West,1
Flora Drive,Tiong Bahru Station,1
Pasir Ris West,Bukit Batok East,4
Mandai Estate,Kallang Way,1
Upper Paya Lebar,Liu Fang,1
Greenwood Park,Dhoby Ghaut,1
Loyang East,Northland,1
Wenya,Nature Reserve,2
Bedok Reservoir,Jurong Island and Bukom,1
The Wharves,Compassvale,1
Moulmein,Sembawang Straits,2
Mandai East,Liu Fang,3
Jurong Port,Bayshore,1
Sunset Way,Sembawang East,1
Lorong Chuan,Farrer Court,2
Margaret Drive,Cecil,2
Coronation Road,Springleaf,1
Taman Jurong,Marina East,2
Tuas View,Institution Hill,1
Woodlands West,People's Park,2
Anak Bukit,Lorong Halus North,1
Senoko North,West Coast,2
Sembawang Straits,Pasir Ris Central,3
Nee Soon,Sembawang East,1
Boon Keng,Bidadari,2
Bedok Reservoir,Saujana,1
Guilin,Sembawang Straits,2
Senja,Robertson Quay,1
One Tree Hill,Guilin,1
Tuas Promenade,Straits View,2
Telok Blangah Rise,Kampong Glam,1
Penjuru Crescent,Bayfront Subzone,1
Straits View,Tagore,2
Yio Chu Kang,Bukit Batok East,1
Waterway East,Bukit Merah,1
Paterson,Pearl's Hill,1
Monk's Hill,Yew Tee,1
The Wharves,Liu Fang,1
Yunnan,Jurong Gateway,291
Bendemeer,Jelebu,13
Kaki Bukit,Frankel,140
Everton Park,North Coast,22
Tampines West,Bedok South,167
Bukit Batok East,Yuhua East,30
Balestier,Kampong Java,219
Pasir Ris Drive,Pearl's Hill,33
Bayfront Subzone,Marina Centre,64
Aljunied,Toa Payoh Central,211
Bendemeer,Pasir Ris Drive,41
Kaki Bukit,Fernvale,67
Balestier,Choa Chu Kang North,46
Yuhua West,Yishun West,28
Central Water Catchment,Sengkang West,6
Singapore General Hospital,Braddell,46
Townsville,Yishun East,42
Bugis,Northland,32
International Business Park,Clementi North,38
Moulmein,Boulevard,123
One North,Jurong Gateway,73
Potong Pasir,Braddell,30
Mountbatten,Victoria,42
Khatib,Punggol Town Centre,12
Serangoon Garden,Punggol Town Centre,16
Shipyard,Geylang East,3
Bishan East,Tyersall,54
Kebun Bahru,Kangkar,8
Farrer Park,Pasir Ris Central,30
China Square,Woodlands West,2
Bukit Batok South,Changi Airport,36
Braddell,Moulmein,26
Wenya,Bangkit,5
Compassvale,Matilda,108
Bangkit,Reservoir View,8
Plab,Kallang Way,6
Senja,Yishun East,8
Pulau Punggol Timor,Tagore,7
Moulmein,Kampong Tiong Bahru,4
Clarke Quay,Hougang East,11
Chinatown,Serangoon Central,39
Waterway East,Kampong Java,22
People's Park,One North,3
Kaki Bukit,Bukit Batok South,25
Tuas Promenade,Hillview,10
Dunearn,Bayshore,5
Bedok North,Bedok Reservoir,296
Bras Basah,North Coast,16
Bedok North,Teck Whye,19
Mountbatten,Bendemeer,20
Telok Blangah Rise,Pasir Ris Wafer Fab Park,3
Aljunied,Pulau Punggol Timor,22
Tiong Bahru Station,Woodlands Regional Centre,21
Kangkar,Sengkang Town Centre,56
Mountbatten,Henderson Hill,13
Pandan,Clementi West,29
Moulmein,Woodgrove,41
Kovan,Bukit Batok East,3
Tai Seng,Yishun West,41
Bishan East,Sembawang North,21
Tyersall,Hong Kah,22
Benoi Sector,Everton Park,5
Maritime Square,Geylang Bahru,37
Newton Circus,Bishan East,21
Serangoon Garden,Boon Keng,14
Marymount,International Business Park,3
Pasir Panjang 1,Dhoby Ghaut,12
Woodlands East,Pasir Ris West,44
Chin Bee,Lakeside,17
North Coast,Tiong Bahru,27
Tiong Bahru,Kampong Ubi,12
Tengeh,Benoi Sector,5
Shangri-La,Compassvale,11
Kampong Ubi,Yishun East,48
Queensway,Lakeside,2
Frankel,Victoria,74
Boulevard,Hougang West,84
Frankel,Yuhua West,15
Bayfront Subzone,Maritime Square,48
Chin Bee,Hougang West,3
Bangkit,Senoko West,8
Serangoon North,Victoria,9
Kangkar,Dairy Farm,4
Tanglin Halt,Geylang East,21
Woodleigh,Trafalgar,14
Turf Club,Saujana,6
Kembangan,Hillcrest,12
Central Subzone,Yishun West,15
Bangkit,Matilda,7
Fort Canning,Mountbatten,32
Tanjong Rhu,Lorong Chuan,19
Balestier,Kebun Bahru,35
Tanglin Halt,City Hall,20
Alexandra Hill,Yishun East,18
Bukit Merah,Trafalgar,12
Somerset,Singapore General Hospital,39
Everton Park,Simei,17
Yishun West,Gombak,4
Aljunied,Paya Lebar West,7
Yunnan,Yio Chu Kang North,2
Redhill,Teban Gardens,7
Faber,Singapore Polytechnic,10
Sengkang West,Margaret Drive,1
Fernvale,Yuhua West,8
Port,Nee Soon,3
Swiss Club,Woodlands Regional Centre,14
Frankel,Henderson Hill,9
Sembawang Hills,Townsville,20
Holland Road,Anak Bukit,122
Phillip,Tanjong Rhu,13
Boulevard,Xilin,44
Fernvale,Henderson Hill,7
Penjuru Crescent,Senoko South,3
Jurong Gateway,Sennett,3
Wenya,Geylang East,13
Hougang West,Liu Fang,4
Mountbatten,Yuhua West,23
Mount Pleasant,Central Water Catchment,27
Boon Lay Place,Tuas View Extension,24
Fajar,Clementi Central,21
Hougang East,Potong Pasir,18
Clementi North,Macpherson,12
Keat Hong,Marine Parade,10
Mount Pleasant,Kampong Bugis,3
Chinatown,Bukit Batok Central,11
Yew Tee,Tengah,6
Tampines North,Woodleigh,6
Upper Thomson,Pulau Punggol Timor,7
Fernvale,Bendemeer,46
Woodgrove,Macpherson,14
Katong,Tukang,2
Farrer Court,Choa Chu Kang Central,4
Jurong Gateway,Pang Sua,16
Kian Teck,Ulu Pandan,7
Pasir Ris Central,Crawford,29
Keat Hong,Yio Chu Kang West,7
Seletar,Pulau Punggol Timor,39
Pandan,Hillview,6
Peng Siang,Tampines North,5
Tampines East,Kampong Glam,21
Anson,Sengkang Town Centre,7
Tanjong Rhu,Cairnhill,20
Toh Tuck,Lorong Chuan,6
Seletar Hills,Bedok North,9
Shangri-La,Changi Point,2
Ghim Moh,Kangkar,3
Serangoon Garden,Bras Basah,40
Simei,Everton Park,18
Everton Park,Orange Grove,10
Yishun Central,Yio Chu Kang East,5
Bras Basah,Simei,31
Hougang Central,Kim Keat,5
Pearl's Hill,Pasir Panjang 1,17
Lakeside,Kampong Tiong Bahru,4
Choa Chu Kang North,Safti,5
Farrer Park,Paterson,2
Serangoon Garden,Nee Soon,41
Yuhua West,Turf Club,4
Pasir Ris Park,Pasir Ris Wafer Fab Park,6
Port,Bras Basah,2
Telok Blangah Drive,Tanjong Pagar,5
Kampong Java,Bukit Batok West,19
Kovan,Kampong Ubi,41
Ang Mo Kio Town Centre,Bedok South,6
Malcolm,Nature Reserve,6
Punggol Town Centre,Khatib,4
Kembangan,Senoko North,5
Hong Kah,Sembawang North,13
Toa Payoh West,Bedok Reservoir,9
Istana Negara,Fajar,4
Sengkang West,Midview,6
Yew Tee,Joo Seng,18
Sengkang West,Central Water Catchment,9
Central Water Catchment,Geylang Bahru,11
Fort Canning,Central Subzone,6
Paya Lebar North,Bedok Reservoir,25
Geylang Bahru,Kangkar,11
Boulevard,Lakeside,6
Nassim,Bukit Batok Central,13
Tiong Bahru,Brickworks,2
Ridout,Marine Parade,15
Chong Boon,Nee Soon,14
Waterway East,Chatsworth,3
Telok Blangah Way,Kampong Java,7
Tampines West,Holland Road,11
Sungei Road,Kaki Bukit,4
Tanglin Halt,Bangkit,4
Tagore,Anak Bukit,9
Sengkang West,Seletar Aerospace Park,29
Jelebu,Pasir Ris Drive,12
Chong Boon,Bras Basah,23
Sembawang Straits,Waterway East,2
Chong Boon,Boon Keng,14
Yishun Central,Choa Chu Kang Central,10
Woodlands West,Kallang Bahru,15
Hillcrest,Northland,7
Cairnhill,Braddell,12
Yio Chu Kang East,Geylang Bahru,4
Holland Drive,City Terminals,12
Compassvale,Reservoir View,4
Chin Bee,Xilin,5
Redhill,Ang Mo Kio Town Centre,7
Waterway East,Kranji,19
Dhoby Ghaut,Dhoby Ghaut,6
Liu Fang,Macpherson,4
Turf Club,Cheng San,8
Mandai West,Mandai West,2
Waterway East,Kebun Bahru,7
Northshore,Seletar Hills,4
Balestier,Dunearn,22
Bukit Batok Central,Marina East (MP),2
Seletar,Toa Payoh Central,9
Lakeside,Boulevard,4
Paya Lebar North,Siglap,6
Tuas Promenade,Clementi West,14
Robertson Quay,Cairnhill,8
Choa Chu Kang North,Kent Ridge,8
Woodlands Regional Centre,Pang Sua,15
Tuas View,City Terminals,18
Kallang Bahru,Somerset,37
Istana Negara,Bukit Ho Swee,3
Northland,Toh Tuck,11
Geylang East,Phillip,21
Port,Boon Keng,4
Joo Koon,Boon Keng,5
Choa Chu Kang Central,Kranji,25
Robertson Quay,Coronation Road,7
Yuhua East,Kallang Way,5
Bukit Batok Central,Bendemeer,12
Upper Thomson,Gul Circle,4
Joo Seng,West Coast,2
Chong Boon,Punggol Town Centre,11
Macpherson,Istana Negara,11
Leonie Hill,Bayfront Subzone,3
Yio Chu Kang North,Yunnan,4
Tukang,Gul Circle,10
Woodlands Regional Centre,Senja,17
Marina Centre,Kangkar,36
Anchorvale,Woodlands Regional Centre,26
Dover,Senoko South,4
Pei Chun,Tagore,4
Yishun Central,Bencoolen,4
Redhill,Bishan East,16
North Coast,Plab,5
Faber,Tampines East,8
Choa Chu Kang Central,Kampong Java,13
Senoko West,Braddell,8
Clementi North,Wenya,12
Straits View,Anchorvale,2
Pandan,Bukit Ho Swee,7
One North,Yio Chu Kang North,2
Tiong Bahru,Swiss Club,10
Tiong Bahru,Leedon Park,4
People's Park,National University of S'pore,1
Tengah,Woodlands Regional Centre,1
Ghim Moh,Clifford Pier,2
Bukit Batok South,Turf Club,4
Jurong River,Keat Hong,15
Queensway,Kembangan,2
Liu Fang,Wenya,5
Defu Industrial Park,Little India,7
Sembawang Hills,Jurong West Central,7
Braddell,Woodlands South,11
Bukit Batok South,Gali Batu,15
Singapore Polytechnic,City Terminals,3
Serangoon North Ind Estate,Northland,11
Oxley,Senja,4
Henderson Hill,Bukit Batok Central,8
Bangkit,Ulu Pandan,7
Flora Drive,Gul Circle,1
Serangoon North,Henderson Hill,2
Kian Teck,Reservoir View,9
Teck Whye,Trafalgar,8
Lakeside,Woodgrove,7
Marine Parade,Defu Industrial Park,6
Teban Gardens,Northshore,1
Frankel,Boon Lay Place,9
Farrer Court,Farrer Court,3
Bayshore,Dairy Farm,3
Lorong Chuan,Bugis,10
Sembawang Straits,Sentosa,5
Kallang Bahru,Serangoon North Ind Estate,5
Dunearn,East Coast,3
Little India,Tengah,2
Mount Pleasant,Margaret Drive,4
Bras Basah,Benoi Sector,2
Anson,Leonie Hill,1
Pasir Ris Park,Balestier,8
Midview,Geylang Bahru,4
Tiong Bahru,Yunnan,8
Yuhua East,Tanglin,5
Bencoolen,Kangkar,14
Holland Drive,Siglap,2
Kampong Tiong Bahru,Clarke Quay,9
Bras Basah,Mandai East,2
Pandan,Fajar,3
Marina South,Choa Chu Kang North,4
Lorong Chuan,Chin Bee,4
Yishun Central,Boon Teck,1
Clarke Quay,Marymount,13
Peng Siang,Pasir Ris West,4
Telok Blangah Way,Choa Chu Kang North,1
Yio Chu Kang West,Sennett,1
Boon Teck,Pasir Ris Park,4
Mount Emily,Kallang Way,1
Changi Point,Tanglin Halt,2
Tuas Bay,Senja,4
Depot Road,Northland,3
Kembangan,Pandan,3
Wenya,City Hall,7
Sembawang Springs,Yio Chu Kang West,5
Bencoolen,Clifford Pier,2
Lorong Halus,Sembawang Central,4
Marina South,Kebun Bahru,4
Tuas Promenade,Fajar,10
Kian Teck,Matilda,8
Bedok Reservoir,Tuas View,2
Choa Chu Kang Central,Chatsworth,4
Sengkang West,Balestier,7
Guilin,Hougang Central,5
Telok Blangah Way,Chatsworth,7
Safti,Yio Chu Kang East,1
Woodgrove,Wenya,6
Mount Pleasant,Midview,1
Clementi Woods,Khatib,2
The Wharves,Airport Road,1
Defu Industrial Park,Tengeh,3
Sembawang Springs,Marine Parade,6
Boat Quay,Pasir Ris West,5
Sembawang Hills,Leedon Park,2
Gul Circle,Singapore Polytechnic,1
Gali Batu,Pasir Panjang 1,3
China Square,Senoko South,2
Bishan East,Commonwealth,14
Mount Emily,Tanglin,2
Macpherson,Robertson Quay,5
Bras Basah,Orange Grove,5
Admiralty,Everton Park,1
Saujana,Tuas View Extension,5
Gul Circle,Toa Payoh West,2
Tyersall,Bukit Merah,6
Pioneer Sector,Woodlands South,2
Tai Seng,Turf Club,2
Sembawang East,Hong Kah,4
Raffles Place,Peng Siang,3
Holland Drive,Lorong Halus,1
Marine Parade,Sennett,7
Toa Payoh West,Teck Whye,5
Compassvale,Senoko West,4
Kangkar,Telok Blangah Rise,1
Cheng San,Lorong Halus North,2
Henderson Hill,Serangoon Central,5
Bukit Batok West,Kangkar,5
Marina South,Choa Chu Kang Central,3
Kampong Ubi,Clementi Woods,11
Seletar Hills,Mandai Estate,1
Katong,Lorong 8 Toa Payoh,3
Joo Seng,Mount Emily,4
Seletar Aerospace Park,Marina South,2
Sengkang Town Centre,Sengkang West,3
Kangkar,Leonie Hill,3
Serangoon North,Yuhua West,4
Monk's Hill,Shangri-La,2
Queensway,Xilin,1
Gul Basin,Keat Hong,2
Yio Chu Kang North,Kampong Ubi,8
Samulun,Simei,2
Mackenzie,Lorong Halus North,1
Upper Thomson,Paya Lebar West,3
One Tree Hill,Victoria,5
Joo Koon,Nee Soon,2
Wenya,Depot Road,1
Lorong Halus,Western Water Catchment,1
Taman Jurong,Kim Keat,4
Mount Pleasant,Sembawang Straits,1
Cecil,Paya Lebar East,1
Upper Paya Lebar,Airport Road,1
Tiong Bahru Station,Sembawang Hills,1
Chatsworth,Springleaf,1
Loyang East,Cheng San,1
Safti,Bencoolen,2
Telok Blangah Rise,Anson,1
Tengeh,Mandai East,5
Marina South,Dunearn,3
Boat Quay,Tampines North,2
Yio Chu Kang West,Pang Sua,2
Loyang East,Lim Chu Kang,1
Tanjong Rhu,Shipyard,2
One Tree Hill,Boon Lay Place,2
Faber,Flora Drive,2
Tuas Promenade,Bukit Ho Swee,2
Tampines West,Sembawang East,5
Leedon Park,Gul Basin,1
Dover,Woodlands West,2
Pasir Ris Park,Anson,2
Chatsworth,Pasir Ris Park,1
Ridout,Yio Chu Kang West,4
Tanglin Halt,Depot Road,1
Sengkang West,Yishun Central,2
Goodwood Park,Senoko South,3
Tuas North,Greenwood Park,2
Penjuru Crescent,Tanjong Pagar,1
Yio Chu Kang North,Leedon Park,2
Seletar Hills,Rochor Canal,2
Pang Sua,Everton Park,3
Turf Club,Tai Seng,2
Safti,Boon Teck,1
Lavender,Jurong Island and Bukom,1
Shipyard,Bangkit,1
Sengkang West,Sembawang Straits,2
Sennett,Tiong Bahru,4
Mei Chin,Marina East,1
Telok Blangah Way,Dunearn,1
Lorong 8 Toa Payoh,Kampong Glam,1
Orange Grove,Jurong River,2
Central Subzone,Loyang East,1
Sembawang East,Bukit Merah,1
Kampong Bugis,Pasir Ris Park,1
Kallang Way,Straits View,1
One Tree Hill,Sungei Road,1
Anson,Telok Blangah Rise,1
Fajar,Serangoon North Ind Estate,1
Penjuru Crescent,Woodlands West,2
Tuas View,Siglap,2
Changi West,Clementi Woods,1
Marina East,Kallang Way,1
Compassvale,Ulu Pandan,1
Changi Bay,Tanjong Rhu,1
Seletar,Paya Lebar West,1
Marina South,Farrer Court,1
Paya Lebar North,City Terminals,1
Sungei Road,Lavender,1
Ang Mo Kio Town Centre,Holland Road,1
Chong Boon,Coronation Road,8
Changi Point,Kaki Bukit,41
Maritime Square,Taman Jurong,105
Lavender,Sembawang Central,50
Tampines East,Anson,8
Frankel,Rochor Canal,30
Yishun West,Trafalgar,88
North Coast,Kallang Bahru,62
Yishun East,Pasir Ris Central,30
Frankel,Upper Thomson,48
Tai Seng,Aljunied,128
Woodlands East,Alexandra Hill,40
Hong Kah,National University of S'pore,54
Woodlands East,Serangoon Garden,72
Kian Teck,Yishun West,13
Bayfront Subzone,Hillcrest,11
Goodwood Park,Little India,4
Bugis,Cheng San,30
Changi Airport,Pasir Ris West,194
Swiss Club,Singapore General Hospital,10
Anchorvale,Singapore General Hospital,28
Penjuru Crescent,Tengeh,10
Seletar Aerospace Park,Istana Negara,5
Sembawang Central,Bayfront Subzone,46
Central Subzone,Aljunied,45
Guilin,Yuhua East,50
National University of S'pore,Matilda,13
Ulu Pandan,Bras Basah,14
Tanjong Rhu,Lorong Ah Soo,46
Bangkit,Yishun West,41
Lorong 8 Toa Payoh,Balestier,51
Matilda,Kovan,91
Toh Tuck,Mackenzie,4
Simei,Clarke Quay,26
Crawford,Geylang Bahru,46
Tyersall,Chatsworth,58
Bedok South,Bayshore,151
Changi Airport,Tampines North,105
Tampines North,Waterway East,40
Sengkang Town Centre,Tanjong Pagar,17
Farrer Park,Sentosa,53
Yuhua West,Aljunied,54
Pulau Punggol Timor,Anchorvale,61
Kaki Bukit,Commonwealth,21
Kampong Ubi,China Square,24
Geylang East,Serangoon Central,178
Khatib,Matilda,26
Istana Negara,Central Subzone,4
Bedok South,East Coast,25
Straits View,Katong,6
City Hall,Bukit Batok South,23
Simei,Kembangan,153
Tuas Promenade,Central Subzone,5
China Square,Sunset Way,4
Boulevard,Tai Seng,36
Tampines East,Bukit Batok West,16
Hong Kah,One North,47
Braddell,Jelebu,5
Serangoon Central,Tampines East,127
Tai Seng,Farrer Park,40
Bukit Batok South,Farrer Park,53
Upper Paya Lebar,Lorong Chuan,11
Ulu Pandan,Punggol Town Centre,2
Toa Payoh Central,Swiss Club,39
Taman Jurong,Pearl's Hill,36
Greenwood Park,Yunnan,3
Bedok North,Pasir Ris Park,84
Saujana,Tukang,5
Waterway East,Toh Tuck,5
Everton Park,Woodlands East,19
Bayshore,Clementi North,6
Northland,Jurong Gateway,51
Northland,Yio Chu Kang North,9
National University of S'pore,Ulu Pandan,23
Keat Hong,Woodlands South,14
Kranji,Senoko North,38
Victoria,Pasir Ris West,29
Braddell,Pasir Ris Drive,8
Kaki Bukit,Holland Drive,21
Compassvale,Yishun West,31
Rochor Canal,Bayshore,27
Chin Bee,Jurong Island and Bukom,21
Tampines East,Malcolm,18
Tengeh,Bishan East,8
City Terminals,Yunnan,11
Pei Chun,Changi West,1
Shangri-La,Boon Keng,4
Springleaf,City Hall,4
Woodlands Regional Centre,Pasir Ris Central,15
Jurong River,Peng Siang,12
Lavender,Western Water Catchment,38
Upper Paya Lebar,Cairnhill,18
Telok Blangah Drive,Sunset Way,7
Tai Seng,Newton Circus,6
Sembawang East,Kebun Bahru,5
Seletar Hills,Defu Industrial Park,4
Kebun Bahru,Changi Point,8
Hillcrest,Cheng San,7
Choa Chu Kang Central,Toh Tuck,12
Senoko North,Bukit Batok South,2
Shangri-La,Bras Basah,11
Tanjong Rhu,Changi Airport,45
Geylang Bahru,Compassvale,19
Aljunied,Nature Reserve,24
Tuas View Extension,Tukang,13
Benoi Sector,Clarke Quay,3
Bras Basah,Woodlands East,19
Kebun Bahru,Compassvale,20
Bishan East,Institution Hill,9
Hougang Central,Pearl's Hill,82
City Terminals,Kampong Ubi,12
Hong Kah,Lower Seletar,17
Bencoolen,Changi Point,5
Toa Payoh Central,Leedon Park,18
Katong,Kallang Way,9
Tanjong Pagar,Lim Chu Kang,3
Swiss Club,Punggol Field,9
Jurong River,Teck Whye,8
Anchorvale,Punggol Field,95
Upper Thomson,Leonie Hill,6
Keat Hong,Moulmein,18
Woodlands West,Frankel,15
Bayfront Subzone,Hougang East,10
Tanjong Rhu,Mackenzie,9
Hougang West,Gul Basin,2
Teck Whye,Khatib,7
Pei Chun,Chong Boon,25
Redhill,Yio Chu Kang East,1
Bishan East,Lower Seletar,33
Bangkit,Turf Club,7
Tanjong Rhu,Gali Batu,6
Clementi Woods,Cecil,4
Serangoon North,Upper Thomson,26
City Terminals,Swiss Club,5
Singapore General Hospital,Jurong River,10
Kent Ridge,Marymount,6
Trafalgar,Bayfront Subzone,25
Serangoon Garden,Coronation Road,18
Kangkar,Clementi North,10
Midview,Taman Jurong,14
Serangoon Garden,Reservoir View,4
Fernvale,Upper Thomson,92
Marymount,Lavender,58
Raffles Place,Geylang Bahru,14
Lorong Halus North,Paya Lebar North,11
Rivervale,Punggol Town Centre,57
Teban Gardens,Kampong Ubi,15
Central Subzone,Paya Lebar North,2
Sentosa,Somerset,42
Commonwealth,East Coast,7
Serangoon Central,Toa Payoh West,22
Nassim,Tagore,8
Serangoon North Ind Estate,Cheng San,37
Tuas Promenade,Mountbatten,10
Tanglin,Punggol Field,2
Sengkang Town Centre,Senoko South,17
Keat Hong,Dover,11
Jurong West Central,Shipyard,57
Gombak,Tampines East,7
Western Water Catchment,Bukit Batok West,64
Toa Payoh Central,Yunnan,32
Yishun Central,Bugis,23
Serangoon Central,Yio Chu Kang,32
Changi West,China Square,3
Pulau Punggol Timor,Changi West,2
Upper Thomson,Sengkang Town Centre,52
Lim Chu Kang,Tampines North,5
Gombak,Singapore Polytechnic,2
Jelebu,Redhill,10
Northshore,Kangkar,15
Ridout,Dover,13
Chong Boon,Cairnhill,21
Springleaf,Clementi Central,2
Woodleigh,Khatib,11
Kampong Tiong Bahru,Dhoby Ghaut,16
Nassim,Paya Lebar East,4
Woodlands East,Upper Paya Lebar,10
Jurong Island and Bukom,Tampines East,20
