Source,Target,Weight
Leonie Hill,Goodwood Park,4
Punggol Town Centre,Hillcrest,2
Robertson Quay,Orange Grove,2
Shangri-La,Pasir Panjang 1,5
Clementi Central,Khatib,7
Keat Hong,Holland Drive,19
Northland,Saujana,4
Yew Tee,Depot Road,3
Potong Pasir,Jelebu,7
Tuas View Extension,Toa Payoh Central,3
Paterson,Bukit Batok West,1
Redhill,Tuas Bay,2
Clarke Quay,Bukit Batok South,7
Chatsworth,China Square,7
Pasir Panjang 1,Katong,2
Guilin,Loyang East,1
Tuas North,Kovan,4
Waterway East,Lakeside,3
Mandai East,Pasir Ris West,7
Tanjong Pagar,Defu Industrial Park,2
Dunearn,Macpherson,5
Senoko South,Swiss Club,20
Changi Point,Jurong West Central,12
Greenwood Park,Balestier,7
Robertson Quay,Simei,7
Sembawang Straits,Cairnhill,3
Admiralty,Tagore,4
Shipyard,Serangoon North,1
Chinatown,Boat Quay,19
Tanglin Halt,Serangoon North,1
Sungei Road,Tampines West,6
China Square,Hong Kah North,6
Kampong Java,Guilin,12
Faber,Bayfront Subzone,4
Braddell,Tanglin,3
Tanglin Halt,Fort Canning,10
Lorong Halus North,Teban Gardens,1
Macpherson,Mackenzie,1
Saujana,Paya Lebar West,2
Punggol Field,Lorong Halus North,7
Kampong Glam,Central Water Catchment,2
Bukit Batok Central,Cecil,6
Gul Basin,Robertson Quay,1
Townsville,Sembawang East,3
Coronation Road,Bukit Batok Central,9
Gul Circle,Bayfront Subzone,1
Serangoon North Ind Estate,Senja,1
Clementi West,Mountbatten,9
Jurong Gateway,Liu Fang,4
Sennett,Upper Thomson,8
Sengkang West,Reservoir View,1
Bukit Batok East,Raffles Place,4
Lakeside,Gali Batu,6
Khatib,Seletar,6
Central Water Catchment,Potong Pasir,4
Senoko North,Defu Industrial Park,3
Boon Keng,Tanjong Pagar,5
Kampong Tiong Bahru,Chong Boon,8
Redhill,Sunset Way,7
Yuhua West,Ang Mo Kio Town Centre,12
Bangkit,Mandai East,5
Joo Koon,Pasir Panjang 2,2
City Terminals,Yishun Central,2
Tampines West,Chatsworth,8
Chong Boon,Pasir Panjang 2,1
Sengkang West,Ulu Pandan,2
International Business Park,Chinatown,3
Pang Sua,Paya Lebar East,2
Newton Circus,Marina East,1
Clementi North,Institution Hill,3
West Coast,Hillcrest,6
Trafalgar,Yuhua East,11
Penjuru Crescent,Hong Kah North,10
Mount Pleasant,Matilda,5
Tukang,Straits View,2
Marina East,Clementi Central,1
Moulmein,Turf Club,4
Balestier,Lakeside,2
Springleaf,Rivervale,2
Tengah,Tyersall,1
Tanglin,Tuas View,1
Boon Lay Place,Paya Lebar West,2
Joo Seng,Mandai Estate,1
Marina South,Lakeside,2
Tiong Bahru,Pioneer Sector,1
Benoi Sector,Tagore,1
Alexandra Hill,Maxwell,1
Senja,Sembawang East,2
Greenwood Park,Pasir Ris Wafer Fab Park,3
People's Park,Istana Negara,1
Yio Chu Kang North,Kian Teck,3
Xilin,Lorong Halus North,2
Defu Industrial Park,Tukang,2
Pioneer Sector,Kallang Way,1
Queensway,Ridout,3
Ang Mo Kio Town Centre,Chatsworth,4
Changi West,Holland Road,2
Springleaf,Tanglin Halt,1
East Coast,Northland,1
Dunearn,Dover,3
Clementi Woods,Hougang East,2
Alexandra North,Singapore General Hospital,3
Benoi Sector,Paya Lebar East,5
Yio Chu Kang,People's Park,1
Telok Blangah Way,Xilin,2
Boon Lay Place,Pulau Punggol Timor,1
Rochor Canal,Yio Chu Kang West,2
Peng Siang,Springleaf,3
Kampong Tiong Bahru,Changi West,1
Tuas Bay,Compassvale,2
Serangoon Garden,Pasir Panjang 2,2
Trafalgar,People's Park,2
Sennett,Mandai Estate,1
Bugis,Sennett,1
Swiss Club,Tuas View,1
Newton Circus,Sunset Way,2
Malcolm,Rivervale,3
Central Subzone,Pei Chun,1
Greenwood Park,Yishun Central,2
Sembawang Springs,Holland Drive,1
Chatsworth,Selegie,1
Flora Drive,Yew Tee,1
Choa Chu Kang North,Kim Keat,2
Telok Blangah Rise,Penjuru Crescent,1
National University of S'pore,Seletar,2
Boat Quay,Springleaf,1
Anson,Shangri-La,1
Tampines North,Airport Road,1
Newton Circus,Tuas Bay,1
Kampong Glam,Margaret Drive,1
Little India,Depot Road,1
Woodleigh,Alexandra North,1
Redhill,Tengeh,2
The Wharves,Tampines North,1
Kampong Glam,Midview,1
Jurong River,Robertson Quay,2
Pasir Ris West,Yuhua East,1
Upper Thomson,Samulun,1
Siglap,Nature Reserve,1
Paya Lebar East,People's Park,1
Oxley,Changi Point,1
Istana Negara,Keat Hong,1
Shipyard,Nassim,1
Depot Road,Sennett,1
Malcolm,Tanglin Halt,1
Teck Whye,Alexandra North,1
Joo Koon,Benoi Sector,73
Rivervale,Seletar,20
Somerset,Teck Whye,32
Frankel,Bayshore,115
Crawford,Potong Pasir,21
Katong,Geylang East,252
Bedok North,China Square,30
Moulmein,Newton Circus,8
Admiralty,Anchorvale,5
