subzone,cases,normalize by sum,normalize by max,lat,lon
Nature Reserve,0,0,0,1.3784372,103.7758416
Nee Soon,0,0,0,1.4007817,103.821278
Newton Circus,0,0,0,1.312903,103.8395668
North Coast,0,0,0,1.4564122,103.793187
North-Eastern Islands,0,0,0,1.4063775,104.0323021
Northland,3,0.004310345,0.028571429,1.4364908,103.8421208
Northshore,0,0,0,1.4649329,103.8263604
One North,0,0,0,1.2991731,103.7870016
One Tree Hill,0,0,0,1.3015574,103.8261541
Orange Grove,0,0,0,1.3106145,103.8259732
Oxley,0,0,0,1.2977986,103.842695
Pandan,0,0,0,1.3116886,103.7533131
Pang Sua,0,0,0,1.3933358,103.7525869
Pasir Panjang 1,0,0,0,1.2717449,103.802537
Pasir Panjang 2,0,0,0,1.2800529,103.7858126
Pasir Ris Central,0,0,0,1.3721378,103.9493096
Pasir Ris Drive,0,0,0,1.3828573,103.9454061
Pasir Ris Park,0,0,0,1.3736043,103.9522005
Pasir Ris Wafer Fab Park,0,0,0,1.380588,103.9287883
Pasir Ris West,13,0.018678161,0.123809524,1.3730057,103.9492453
Paterson,0,0,0,1.302229,103.831282
Paya Lebar East,0,0,0,1.3180585,103.8930085
Paya Lebar North,0,0,0,1.3333333,103.8833333
Paya Lebar West,0,0,0,1.3180585,103.8930085
Pearl's Hill,0,0,0,1.2838889,103.84
Pei Chun,0,0,0,1.3362578,103.8556225
Peng Siang,0,0,0,1.3939687,103.7344961
Penjuru Crescent,0,0,0,1.3135244,103.7348443
People's Park,0,0,0,1.2841977,103.8425488
Phillip,0,0,0,1.2842184,103.8496499
Pioneer Sector,0,0,0,1.2948882,103.6662816
Plab,0,0,0,1.3581563,103.9090659
Port,0,0,0,1.2670651,103.8038239
Potong Pasir,0,0,0,1.3313554,103.8692779
Pulau Punggol Barat,0,0,0,1.4271702,103.8767024
Pulau Punggol Timor,0,0,0,1.4188754,103.8897501
Pulau Seletar,0,0,0,1.4431127,103.8614817
Punggol Canal,0,0,0,1.4110707,103.8695196
Punggol Field,0,0,0,1.3998565,103.9050115
Punggol Town Centre,0,0,0,1.3984457,103.9072046
Queensway,0,0,0,1.2979925,103.8005407
Raffles Place,0,0,0,1.283933,103.8514545
Redhill,0,0,0,1.289732,103.81675
Reservoir View,0,0,0,1.3368341,103.9365515
Ridout,0,0,0,1.3039677,103.8036033
Rivervale,0,0,0,1.3876353,103.9049359
Robertson Quay,0,0,0,1.2908317,103.8380232
Rochor Canal,0,0,0,1.3034293,103.8555718
Safti,0,0,0,1.3301791,103.6818154
Samulun,0,0,0,1.3047395,103.6970037
Saujana,0,0,0,1.3822138,103.7671487
Selegie,0,0,0,1.302442,103.8500272
Seletar,0,0,0,1.405163,103.8663418
Seletar Aerospace Park,0,0,0,1.4054053,103.8662685
Seletar Hills,5,0.007183908,0.047619048,1.3852199,103.8749121
Semakau,0,0,0,1.2064868,103.7709177
Sembawang Central,6,0.00862069,0.057142857,1.4212451,103.8248881
Sembawang East,0,0,0,1.4491107,103.8184954
Sembawang Hills,14,0.020114943,0.133333333,1.3759482,103.8304284
Sembawang North,2,0.002873563,0.019047619,1.4491107,103.8184954
Sembawang Springs,4,0.005747126,0.038095238,1.4345248,103.8233396
Sembawang Straits,0,0,0,1.4491107,103.8184954
Sengkang Town Centre,4,0.005747126,0.038095238,1.3868121,103.8914433
Sengkang West,0,0,0,1.3868121,103.8914433
Senja,0,0,0,1.3832057,103.762161
Sennett,0,0,0,1.3188413,103.9386818
Senoko North,0,0,0,1.4576121,103.8037006
Senoko South,0,0,0,1.4576121,103.8037006
Senoko West,0,0,0,1.4576121,103.8037006
Sentosa,0,0,0,1.2494041,103.8303209
Serangoon Central,2,0.002873563,0.019047619,1.3510491,103.8730597
Serangoon Garden,27,0.038793103,0.257142857,1.3636674,103.8670088
Serangoon North,0,0,0,1.3553567,103.8678708
Serangoon North Ind Estate,0,0,0,1.37784,103.8700083
Shangri-La,14,0.020114943,0.133333333,1.3697866,103.8330503
Shipyard,0,0,0,1.3036871,103.6903012
Siglap,10,0.014367816,0.095238095,1.3138672,103.923031
Simei,2,0.002873563,0.019047619,1.3399194,103.949471
Simpang North,0,0,0,1.4372222,103.8352778
Simpang South,0,0,0,1.4372222,103.8352778
Singapore General Hospital,0,0,0,1.2794951,103.832624
Singapore Polytechnic,0,0,0,1.3078453,103.778416
Somerset,0,0,0,1.3004708,103.8386926
Southern Group,0,0,0,1.3671246,103.7343465
Springleaf,0,0,0,1.3996715,103.8213053
Straits View,0,0,0,1.2728954,103.8627293
Sudong,0,0,0,1.207916,103.7202285
Sungei Road,0,0,0,1.3036692,103.8541646
Sunset Way,0,0,0,1.3279073,103.7668691
Swiss Club,0,0,0,1.3382923,103.790064
Tagore,0,0,0,1.3868248,103.8263898
Tai Seng,0,0,0,1.3376999,103.890659
Taman Jurong,0,0,0,1.3540993,103.7283971
Tampines East,71,0.102011494,0.676190476,1.3495907,103.9567879
Tampines North,0,0,0,1.3495907,103.9567879
Tampines West,2,0.002873563,0.019047619,1.3495907,103.9567879
Tanglin,0,0,0,1.306932,103.8188845
Tanglin Halt,0,0,0,1.302261,103.7972067
Tanjong Irau,0,0,0,1.457358,103.8437833
Tanjong Pagar,0,0,0,1.2766708,103.8465905
Tanjong Rhu,0,0,0,1.2975,103.8663889
Teban Gardens,0,0,0,1.3220618,103.7409427
Teck Whye,0,0,0,1.3788984,103.7526191
Telok Blangah Drive,0,0,0,1.2728757,103.8086903
Telok Blangah Rise,0,0,0,1.2722317,103.8216119
Telok Blangah Way,0,0,0,1.2755998,103.8195017
Tengah,0,0,0,1.3555189,103.7308145
Tengeh,0,0,0,1.3555189,103.7308145
The Wharves,0,0,0,1.276161,103.7904907
Tiong Bahru,0,0,0,1.286081,103.826958
Tiong Bahru Station,0,0,0,1.286081,103.826958
Toa Payoh Central,0,0,0,1.3341389,103.8491111
Toa Payoh West,0,0,0,1.3352492,103.8413198
Toh Guan,0,0,0,1.3372143,103.7475242
Toh Tuck,0,0,0,1.3397003,103.7661705
Townsville,0,0,0,1.3594214,103.8551458
Trafalgar,5,0.007183908,0.047619048,1.379172,103.8801963
Tuas Bay,0,0,0,1.3169027,103.6312522
Tuas North,0,0,0,1.2949472,103.6304833
Tuas Promenade,0,0,0,1.316521,103.657727
Tuas View,0,0,0,1.2999658,103.6282123
Tuas View Extension,0,0,0,1.339866,103.6384243
Tukang,0,0,0,1.326699,103.7148166
Turf Club,0,0,0,1.4177268,103.7608558
Tyersall,0,0,0,1.3096237,103.8129643
Ulu Pandan,0,0,0,1.3205188,103.7750533
Upper Paya Lebar,0,0,0,1.3433664,103.8827229
Upper Thomson,4,0.005747126,0.038095238,1.3729333,103.8285086
Victoria,0,0,0,1.3005032,103.8558723
Waterway East,0,0,0,1.4110707,103.9045385
Wenya,0,0,0,1.3562394,103.7071579
