subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Marina Centre,0,0,0,20,53.82680297,103.8595869,1.293116262,0.89123507
Marina East,0,0,0,0,0,103.8727708,1.287990986,1.852962255
Marina East (MP),0,0,0,0,0,103.8871119,1.291150992,1.598015577
Marina South,0,0,0,0,0,103.865471,1.280844113,1.63823955
Marine Parade,0,0,0,28910,129614.9606,103.9081221,1.302466976,1.165622749
Maritime Square,0,0,0,2560,3986.059833,103.8128462,1.268322164,2.714990746
Marymount,0,0,0,31540,32842.01813,103.8456305,1.353888667,1.973665778
Matilda,0,0,0,30440,21971.59157,103.896548,1.402303557,1.425190215
Maxwell,0,0,0,0,0,103.8456382,1.279194276,0.063971266
Mei Chin,0,0,0,16750,15514.54067,103.8036947,1.29386105,0.752298195
Midview,0,0,0,35510,41130.42213,103.790479,1.439940172,0.940992542
Monk's Hill,0,0,0,980,350.9915944,103.8421903,1.307138487,0.172550725
Moulmein,0,0,0,8470,4325.684409,103.8433844,1.316962281,1.35397565
Mount Emily,0,0,0,1110,22259.58088,103.847563,1.302552258,0.194929523
Mount Pleasant,0,0,0,650,377.4895799,103.82846,1.333768948,3.158177581
Mountbatten,7,0.010057471,0.066666667,10210,13814.85164,103.8910188,1.302561549,1.721901834
Nassim,0,0,0,8340,3845.566502,103.8261925,1.313554149,2.106220139
National University of S'pore,0,0,0,360,1822.152602,103.7774801,1.29685268,1.764429376
Nature Reserve,0,0,0,3870,3508.18305,103.7793668,1.353617721,4.161415322
Nee Soon,0,0,0,900,2549.99124,103.8144278,1.404884804,2.217446348
Newton Circus,0,0,0,230,1322.163444,103.83886,1.311619348,0.214614206
North Coast,0,0,0,14610,17088.41195,103.7809842,1.450862077,2.462771213
North-Eastern Islands,0,0,0,60,136.8304281,104.0074278,1.389102316,57.18692143
Northland,3,0.004310345,0.028571429,30380,56722.64006,103.8381917,1.437876198,1.51838507
Northshore,0,0,0,280,141.8679916,103.9059536,1.415506596,1.366632873
One North,0,0,0,620,2879.911263,103.7912737,1.298690608,2.061564151
One Tree Hill,0,0,0,1840,2930.321223,103.8270227,1.301821039,0.342389546
Orange Grove,0,0,0,1440,3486.841118,103.8301431,1.310031111,0.337846059
